MMS1,MMS2,MMS3,MMS4,MMS5_rc,MMS6_rc,MMS7,MMS8,MMS9_rc,MMS10,MMS11_rc,MMS12,MMS13,MMS14_rc,MMS15_rc,MMS16,MMS17,MMS18,MMS19,MMS20,MMS21,MMS22,MMS23,MMS24,MMS25_rc,MMS26,MMS27_rc,MMS28,MMS29,MMS30,MMS31,MMS32,MMS33,MMS34_rc,MMS35,MMS36,MMS37,MMS38,MMS39,MMS40_rc,MMS41,MMS42,MMS43,MMS44,MMS45,MMS46,MMS47,MMS48,MMS49,MMS50,MMS51,MMS52,MMS53,MMS54,MMS55,MMS56_rc,MMS57_rc,MMS58,MMS59,MMS60,MMS61,MMS62,MMS63,MMS64,MMS65,MMS66,MMS67,MMS68_rc,MMS69,MMS70_rc,MMS71,MMS72,MMS73,MMS74,MMS75_rc,MMS76,MMS77,MMS78,MMS79
5,5,6,3,3,6,5,3,5,6,3,4,6,5,2,6,2,3,6,4,3,5,5,2,6,6,5,2,2,2,4,3,6,3,2,4,5,5,2,3,2,4,4,5,5,2,6,2,2,2,4,3,5,2,2,4,2,3,4,5,4,2,3,2,5,2,6,2,5,3,2,4,4,3,3,2,3,5,3
6,5,6,3,4,1,6,3,2,3,5,2,5,7,2,2,1,2,3,4,2,3,6,3,2,4,7,3,6,3,2,4,3,3,1,2,5,4,2,7,2,5,6,4,6,2,6,5,2,2,6,4,2,4,1,3,2,4,6,4,6,3,2,5,3,5,4,4,5,4,2,6,3,2,2,2,2,2,1
3,3,5,6,3,5,5,3,6,2,5,5,6,5,2,5,5,5,6,5,3,3,3,2,6,5,4,3,4,2,2,2,5,5,4,5,6,2,3,6,3,5,3,3,4,5,5,5,6,6,6,3,6,2,2,3,3,2,5,6,5,3,4,3,3,5,5,2,6,5,2,6,5,3,2,2,3,6,3
5,2,6,4,1,4,5,1,3,1,1,3,7,2,2,5,3,5,3,6,1,4,5,2,7,4,5,3,6,5,1,5,3,2,1,1,7,2,1,5,4,3,1,2,3,4,4,3,2,4,5,5,5,2,2,1,3,3,5,5,5,3,1,4,4,1,2,1,6,2,3,4,5,3,7,1,1,5,2
4,5,4,2,3,4,5,4,3,3,5,3,6,3,3,5,4,3,3,4,3,4,4,5,4,3,3,3,3,3,3,4,5,2,4,5,3,2,3,3,3,3,4,4,3,4,3,4,2,3,6,6,5,2,4,5,3,3,3,4,3,3,4,3,2,5,5,3,3,4,4,4,3,4,3,5,4,4,3
4,3,4,3,2,5,3,2,2,2,3,3,5,6,1,4,3,3,5,3,3,3,4,5,3,3,4,3,5,5,3,5,5,6,3,6, ,3,3,4,4,5,3,3,5,3,5,3,2,5,5,7,6,2,3,3,2,4,6,5,3,2,3,3,3,3,2,3,5,3,4,5,5,4,5,3,4,5,3
7,1,2,1,2,1,1,2,6,1,2,1,6,6,3,1,1,1,5,3,1,1,2,4,6,4,2,1,2,5,6,2,6,4,2,1,6,7,1,5,1,4,5,7,1,1,5,1,5,1,4,7,4,7,1,1,2,1,5,3,6,1,1,5,7,6,6,1,5,1,1,6,5,2,1,6,4,7,1
5,5,6,6,4,3,6,5,6,5,1,4,7,4,2,5,2,4,5,6,2,6,6,5,3,6,5,2,4,5,2,4,5,2,2,1,4,2,2,3,5,7,2,2,5,4,5,2,5,5,7,5,6,5,2,1,2,4,6,5,2,2,1,1,2,1,5,2,5,3,5,5,6,2,2,1,2,6,2
5,4,4,3,3,4,5,2,4,4,2,4,5,2,2,5,5,4,6,3,2,3,5,2,6,5,3,3,2,2,3,2,5,3,3,5,6,5,4,5,3,4,5,5,2,2,6,2,3,3,4,6,6,2,2,2,3,2,3,6,5,2,2,2,5,3,6,4,3,3,2,6,5,2,2,2,2,2,2
1,1,7,1,1,7,7,1,7,1,1,7,7,7,6,7,6,7,7,7,6,6,4,4,4,6,5,5,5,6,6,6,7,2,6,7,4, ,7,7,5,6,6,4,7,5,7,6,5,7,5,7,7,7,6,1,2,7,6,5,7,7,7,5,6,5,6,3,7,1,5,4,4,5,3,4,5,3,4
3,3,5,2,3,2,5,3,3,5,3,4,6,3,3,5,3,4,5,4,3,4,5,2,5,6,2,2,3,2,5,4,4,3,2,3,5,3,2,2,3,4,4,3,3,3,5,3,2,3,5,3,5,2,3,3,2,3,3,5,3,2,2,2,3,2,3,3,5,3,2,5,3,3,3,2,2,5,2
5,5,4,6,4,2,3,5,5,5,5,2,6,4,1,6,6,2,5,5,6,5,7,2,5,5,5,5,6,6,5,6,3,3,5,6,5,3,2,5,5,6,5,3,5,3,5,6,7,5,5,6,5,5,5,2,1,6,7,5,2,7,1,5,3,5,5,4,6,3,2,7,7,6,2,5,4,3,2
5,3,5,5,3,3,4,3,5,1,2,5,6,6,3,7,6,4,5,4,2,5,4,4,6,5,6,4,5,4,2,4,7,5,2,5,5,4,2,3,6,6,2,4,5,5,5,2,1,5,6,4,6,2,2,5,3,3,4,6,4,2,5,2,3,2,5,4,6,6,4,5,5,3,5,3,2,5,4
6,1,6,4,2,4,5,5,5,2,2,3,6,3,3,7,2,3,5,5,1,5,2,2,5,3,1,1,2,2,4,5,5,4,1,2,4,4,4,6,5,6,4,4,3,6,4,1,1,1,6,3,5,1,4,2,2,2,2,5,3,1,2,2,1,1,4,7,1,3,2,5,5,2,3,1,1,1,2
2,5,4,3,2,4,3,5,4,3,3,3,4,6,2,4,5,3,2,5,3,5,4,6,6,3,6,4,6,5,4,3,5,4,6,4,5,3,4,5,6,4,5,3,5,4,3,6,4,2,5,3,2,5,4,2,5,5,4,2,6,3,5,2,5,3,4,1,3,2,3,6,4,5,6,4,6,3,5
4,1,7,5,1,1,7,5,3,7,1,6,5,3,1,6,6,6,6,7,6,6,7,5,3,6,4,5,7,6,1,4,5,3,4,4,6,5,4,5,7,4,6,4,5,5,5,6,5,6,6,6,7,7,6,2,3,6,6,6,3,3,3,4,5,5,4,5,6,2,6,2,7,7,1,5,5,5,6
3,2,7,5,2,2,5,2,4,4,2,6,6,2,3,4,5,6,5,6,3,5,5,4,3,5,2,2,2,2,2,2,4,4,4,2,4,4,2,6,5,4,2,4,2,3,3,2,1,2,5,3,4,4,4,4,2,5,2,5,5,3,1,1,1,2,3,5,1,6,6,5,1,2,6,1,2,1,1
6,5,6,6,2,3,6,5,3,5,3,6,7,4,3,5,4,5,6,6,6,7,5,6,5,7,3,4,5,4,5,3,7,3,5,3,6,3,3,6,4,2,5,5,5,4,4,4,6,2,5,3,5,5,4,6,5,5,5,5,3,4,5,3,6,4,5,3,5,3,1,6,5,5,3,3,5,5,3
